Files,Shortnames,Dates,RA,DEC,CH4-J_burgasser,CH4-J_burgasser_error,CH4-H_burgasser,CH4-H_burgasser_error,CH4-K_burgasser,CH4-K_burgasser_error,H2O-J_burgasser,H2O-J_burgasser_error,H2O-H_burgasser,H2O-H_burgasser_error,H2O-K_burgasser,H2O-K_burgasser_error,K-J_burgasser,K-J_burgasser_error,H-dip_burgasser,H-dip_burgasser_error,H2O_allers,H2O_allers_error,FeH-z_allers,FeH-z_allers_error,VO-z_allers,VO-z_allers_error,FeH-J_allers,FeH-J_allers_error,KI-J_allers,KI-J_allers_error,H-cont_allers,H-cont_allers_error,Color-d2_geballe,Color-d2_geballe_error,Cont-1.0_geballe,Cont-1.0_geballe_error,H2O-1.2_geballe,H2O-1.2_geballe_error,H2O-1.5_geballe,H2O-1.5_geballe_error,H2O-2.2_geballe,H2O-2.2_geballe_error,CH4-1.6_geballe,CH4-1.6_geballe_error,CH4-2.2_geballe,CH4-2.2_geballe_error,H2O-A_reid,H2O-A_reid_error,H2O-B_reid,H2O-B_reid_error,sHJ_testi,sHJ_testi_error,sKJ_testi,sKJ_testi_error,sH2O_J_testi,sH2O_J_testi_error,sH2O_H1_testi,sH2O_H1_testi_error,sH2O_H2_testi,sH2O_H2_testi_error,sH2O_K2_testi,sH2O_K2_testi_error
spex_prism_1622-2445_170210.fits,J1622-2445,170210, 16:22:13.14,-24:45:34.1,0.7795627196218108,0.0022521516830882778,1.0592381703882625,0.0027068579817316344,0.9993774262428274,0.002802014667636879,0.9075612824716062,0.0030648406167028425,0.9546103957099326,0.0028324720905831408,1.03550927975706,0.003130190579668755,0.4839823084439102,0.0015291778797814869,1.008991629651573,0.002071398515518909,1.03709368299081,0.003067724712639234,1.0284187185304323,0.004358241716011425,0.9932408510360555,0.0035230067455859207,,,1.0184910463139911,0.0027756595635033674,1.0049060799838925,0.0023389727264075816,2.775369968591443,0.06556528595340551,1.6858523135875483,0.011727533129677937,1.107147185766143,0.003955889547800406,1.0683868253215445,0.003344672653296243,0.9625214475190992,0.0030987429413446258,0.9440747397098154,0.0024041789701990785,1.0006229615967144,0.003013697836265758,0.9075390478200209,0.002830939580492074,0.9184415055605634,0.002552844346485984,0.11353542940704793,0.002631093030347931,0.712377558515357,0.002540683053337352,0.12664400552176724,0.0034850156990760264,0.11147544664496763,0.0031554344593006847,0.27840831025453816,0.0029504274007239053,-0.07639473874448262,0.0034216398509296516
spex_prism_0005-2633_160922.fits,J0005-2633,160922, 00:05:36.56,-26:33:11.0,0.7853612308977002,0.014934836130001206,0.9627571108789512,0.02658763383991336,0.8392425384161951,0.021915894403427793,0.7309651721463745,0.022224975752103485,0.6507972340231428,0.023587492910781785,0.7294186186056104,0.022767478382777467,0.37791967248562974,0.008964657852728033,1.0315156917704322,0.02620688279822646,1.414144865944508,0.04670519531004146,1.0064936008121994,0.03346230974151101,0.9282409185840411,0.020551223331760238,,,0.9707462433487686,0.018804221962823293,0.7885383052351241,0.019477532710095467,-4.042414148692135,5.298709792736834,3.0146750313505586,0.26235513237153446,1.3720414952950999,0.04199941888517903,1.643736933915044,0.07253068180367374,1.4693688916302454,0.04614439609107468,1.0386835773012861,0.026842660088161302,1.191550659344775,0.02805121187050163,0.7651070189696415,0.01609815689540234,0.5652124735496268,0.02111343474601248,0.30638089157252213,0.02269556864643753,0.7981684765139454,0.021505269528770278,0.13096471324002593,0.027096139544800522,0.5441369277371714,0.03948477263054686,0.5301755984881956,0.026928789617844492,0.6333654784377987,0.045485576889261733
spex_prism_0422+1510_161013.fits,J0422+1510,161013, 04:22:45.28, 15:10:51.2,0.7665371624418135,0.006073167343891779,1.0547294742281825,0.01056209271796162,0.9984004977891112,0.012159545121924733,0.9857399611470443,0.009442087186494488,0.9678815247808876,0.011331213323559743,1.0406165560593117,0.012444036090215693,0.36921760189744884,0.003348164257164646,1.0033440230252406,0.008124173097347831,1.0536153511120712,0.01169180491997407,1.051737792078488,0.009266662702940326,0.9981214615578619,0.00888338922853557,0.9771090170680273,0.00690273936674386,1.0117410028421183,0.006174269399726239,1.0176192593483286,0.008314431172926873,2.4922616147818015,0.12754298902133046,1.5351777909418114,0.02424780820417363,1.0207257190188923,0.008979860637117192,1.0364645232710703,0.010333940088240193,0.953993486786482,0.01183885975196651,0.9481104154520458,0.009360774893205172,1.0016020647169455,0.0106676935494584,0.8469227867055377,0.006339096300198319,0.9416370433459226,0.011321651562451214,0.308826873641722,0.009129049947041968,0.9179585747226494,0.008771060423083477,0.017386107913113066,0.008264101734885974,0.07995297783175948,0.012371396891679888,0.3109903572082563,0.010405665227239128,-0.06893018643717318,0.012808680843834382
spex_prism_0328+0155_160803.fits,J0328+0155,160803, 18:41:34.15,-05:02:21.3,0.9843445573408627,0.0005880144859839717,1.4848271588867072,0.0005072861895142989,1.1794002545399362,0.0004497870447608588,0.325764973481249,0.0003471725147672139,0.44810257886392546,0.0001922235066824129,0.6648777309915717,0.0002259968079150732,5.723055200844485,0.0025679902236470566,1.0681979072692893,0.0002636569046176393,1.853780118956274,0.0007564012291470347,1.0938323936731231,0.005967085217490001,2.017575449229411,0.0056371914642589695,,,1.0301932985405033,0.0004988472098125472,1.0652915883727565,0.00030379805536792507,3.1338251695941044,0.2864919602765235,34.92315948161176,2.5711401528086593,3.415803773228436,0.003689789845211348,2.829351886599501,0.0014524540019965428,1.5685318408753008,0.0005798941536051853,0.6734790605189221,0.00019971895116283988,0.8478885740024559,0.00036877481093328373,0.7641409554545835,0.0004618774735232103,0.31644096302887764,0.00014560973205038653,-1.239833699960377,0.00021931573858134117,-1.4445137899662361,0.00022034959305978276,1.3612002161628372,0.0006942109339398984,1.2350447143741419,0.0002773425968378854,0.22943619081847927,0.0003574683052851124,0.555288499715211,0.0003923277900708858
spex_prism_0431+3031_161012.fits,J0431+3031,161012, 04:31:27.38, 30:31:35.0,0.74363465530896,0.005474835547957101,1.0316146056247737,0.00974960201985025,1.0061293479691171,0.011708749883857325,1.0175053074522191,0.01047926490156108,0.9595407952049949,0.009404324250008804,1.031396197160993,0.012637784694750407,0.33347321453439577,0.003845859665889545,1.006243813415177,0.008736639921332763,1.0305024895763837,0.012733502285804207,1.0376427513091264,0.01077919707054126,1.0059275448610208,0.007436539813261743,,,1.0042065355785563,0.007534181504800964,1.0186710472048923,0.008655452556226321,2.0127852172900567,0.11627709554154896,1.3893742073311186,0.02394948648389139,0.9968618675667208,0.009085833835912533,1.0417860796197853,0.009488133132135907,0.9802492436633795,0.012296741386172556,0.9693542477467862,0.008803591216048278,0.9939079920673328,0.009944630459052972,0.7746925964323629,0.006118821446779129,0.9415530133716573,0.011543747816950134,0.3805735588411682,0.009199313509941616,0.9972554749847948,0.007776756583524488,-0.034828793351250026,0.009881426368979845,0.07391893731083034,0.010145208017342837,0.34650077358556564,0.010897371833793195,-0.0702208897245401,0.011817092246447008
spex_prism_1619-2326_170210.fits,J1619-2326,170210, 16:19:55.38,-23:26:59.5,0.7638171716132173,0.004012887910976966,1.0851561693838299,0.004379884351925691,1.047029485475882,0.005283925917967075,0.9137287852554632,0.005583138872700291,0.9112951371430495,0.0048752905266322205,1.0330846547460744,0.006111120831221911,0.4268416523171831,0.0021880910827538538,1.0116617921811728,0.004407435209389248,1.048748494516206,0.005759416459020307,1.0568358343012432,0.007208101624915361,1.0111605305878364,0.004812946562835801,,,1.0201189438418676,0.0041914362196895484,1.0084529313212103,0.0047234694979352825,3.690364185326367,0.22007986860983683,1.9965405133009657,0.027580885874327287,1.1125375616963868,0.006709859205259827,1.135852071001425,0.006795482149236168,0.9686995932319367,0.005670085743772492,0.9215263463578861,0.004057477462524651,0.9550829407115439,0.0042710084667189775,0.8208299499582598,0.004738151327391128,0.8626213637789757,0.005228472112909379,0.2147410840860622,0.0048567157172211784,0.7980980862071254,0.004118544353750345,0.1283813984040525,0.006710614557811458,0.1826200115786432,0.005444312422092627,0.3409366099050247,0.005229091154512202,-0.038788379681754456,0.0049557450716649805
spex_prism_1627-2385_170210.fits,J1627-2385,170210, 16:27:36.03,-23:58:23.8,0.7869453975243689,0.004037252787818457,1.064892903997934,0.004333852818586397,1.0043386103246223,0.004199816375422316,0.8880554246703525,0.004989429826750315,0.9271599304092282,0.003968841397887864,1.0155791815860271,0.004320830935611802,0.5612027702837283,0.002769805554028446,1.0037299154031927,0.0034023054617092086,1.0503820645613582,0.0048370369455654205,1.0326900420787513,0.008866951534456562,0.9919435786423332,0.005449616441747319,,,1.028103764081655,0.004608055997543239,1.0066194397912185,0.004133249114636083,3.6805547363582916,0.385553478432102,1.8348331425160136,0.03569674728889439,1.1448356758199585,0.008139763628963981,1.1117879407518798,0.006055932135103564,0.9813704733961419,0.004383725398510503,0.9390615678306182,0.003968077281518497,0.9956801318997186,0.004541151084318138,0.9170916523711713,0.004876084418522485,0.8862810379152262,0.004767649434206668,0.036808293625012804,0.004768974217820632,0.5819494933756593,0.004244800480132493,0.18066087351342933,0.006480091361313554,0.15276607371353057,0.005316203706098913,0.25884969144188036,0.004514705539115204,-0.05490456285119105,0.004968717074289592
spex_prism_0057+0221.160908.fits,J0057+0221,160908, 00:57:00.83, 02:21:47.2,0.7359958059697261,0.0015239249790136946,0.9247558705634263,0.002057325136936018,0.9083660060599325,0.0024082037379137286,1.1265209283300894,0.0021903765071993177,1.0473108909654583,0.0026716230211224993,1.0642309517227886,0.0030329274861024417,0.31138215721509055,0.0008005553872494382,0.9758185826181816,0.001891159945581628,0.9531718697261635,0.0018523754778147672,1.0286306080756227,0.0017616499294741228,0.9877390033036572,0.0016763331452818173,0.9984168756511003,0.0016697762986340704,1.0043485339382947,0.001538702664240049,0.9905268232320805,0.0018848612941345965,1.2708690696802254,0.00439219323017515,0.9913188267276076,0.0023691284345074767,0.8890635991825092,0.0017457669422105866,0.9490687932216512,0.002145840184977804,0.9360920986269087,0.0026726922511782596,1.0813664793398172,0.00250417331470588,1.1008778326453816,0.003035590444171928,0.8507365946099542,0.0016576605247286174,1.0918063366514357,0.0021906268113709468,0.4629664957362893,0.0017077422176354565,1.0812555752876014,0.0019405336357543046,-0.17073732615466458,0.002077908608723229,-0.14682328704866823,0.0019380503528911674,0.27468085353009963,0.0024478028864078107,-0.16457106895991058,0.003534435541277034
spex_prism_0046+0442_160911.fits,J0046+0442,160911, 00:46:15.02, 04:41:58.3,0.750738101338805,0.0018504296499931518,0.9529039343382056,0.003254176285979242,0.9071559310150017,0.003795486855323047,1.138764092793242,0.0031484471991766907,0.9961140648775171,0.0029389517225058373,1.0481016954453741,0.0037736214317753325,0.31801953330814653,0.0008925554682133391,0.994557704603208,0.0026958764154823836,0.9561046353209672,0.0027163629404788536,1.033798632891853,0.0023233737549468577,0.989057724409408,0.002016253404941207,,,1.0112027847925575,0.0019729254538064385,1.0028527151266802,0.003167027290354724,1.4600951717900905,0.006626238842022863,1.0881535376180937,0.00301933922117237,0.8754967687811338,0.002234995597442268,0.9939526923471308,0.0032046705253387857,0.9472412479041694,0.0034604461825241207,1.0494237288405182,0.0033184769254776723,1.1023463175521728,0.004361862844812633,0.8976335672252811,0.002406271901400267,1.0190166288785074,0.003505722113409251,0.41712753751205817,0.0027762543426539145,1.056150485855271,0.00261957638849377,-0.17478852683828922,0.002465239112618704,-0.08359430135956852,0.0034281793618918272,0.2917554393260178,0.0029893637401879505,-0.12407459897004312,0.004089275072682813
spex_prism_0431+2610_171001.fits,J0431+2610,171001, 04:31:17.81, 26:10:58.5,0.8166445211795303,0.014320875620409323,1.0868344299703596,0.024406955406064683,1.1028753755695773,0.025416587513009726,0.9379481448292859,0.019941053936251577,0.8848927029007367,0.024422109806778034,0.9966154011862892,0.025153264485604385,0.36262372644612223,0.009283812894307785,1.0292254478329885,0.019697028463250797,1.05486073867052,0.024075654494382696,1.1652767902047663,0.019450535399784537,1.0091201956359541,0.017309453505758274,1.0271514734814409,0.013579043294743506,1.0424807191153411,0.015477555196885226,0.9840070208266941,0.021032571841569803,3.9407733729040566,1.1810539976417722,1.8647752010495038,0.06753120901690315,1.09025764667105,0.023600660265459338,1.1154154619178913,0.030990526953035186,0.9941714504398897,0.02579576029468993,0.9201033500818263,0.020595209944683203,0.9067207611590317,0.021088042905724965,0.8518674914379655,0.012782587182487828,0.8420270442384249,0.022492985640749245,0.3081426685321167,0.019318367402245247,0.9060042926535912,0.01769115262743319,0.04707435133866534,0.018973219863958928,0.1993992304186019,0.027626355467134846,0.3592663947022267,0.02291486573221003,0.038184039072699946,0.025856013386448263
