Files,Shortnames,Dates,RA,DEC,Standard,Standard_error,Gravity,Index_burgasser,Index_burgasser_err,Index_allers,Index_allers_err,Index_reid,Index_reid_err
spex_prism_0431+3031_161012.fits,J0431+3031,161012, 04:31:27.38, 30:31:35.0,M6.5,0.8660001730295038,VL-G,L4.2:,1.1506325717906822,M6.3,0.3769500356520908,M8.5:,1.1978831942206294
spex_prism_1619-2326_170210.fits,J1619-2326,170210, 16:19:55.38,-23:26:59.5,L0.0,0.6800756184648608,VL-G,L1.2,0.5522405307339406,M6.7,0.3169881213314368,M9.2:,1.0259811634334977
spex_prism_1627-2385_170210.fits,J1627-2385,170210, 16:27:36.03,-23:58:23.8,L2.0,0.8113548009333353,VL-G,L2.6,0.6551988609274935,M6.4,0.3227754590536273,M8.6:,1.0261324727212022
spex_prism_0057+0221.160908.fits,J0057+0221,160908, 00:57:00.83, 02:21:47.2,M3.0,0.5000000014415413,,L3.0,0.6493893224825135,M4.2:,1.0983870891515168,,
spex_prism_0046+0442_160911.fits,J0046+0442,160911, 00:46:15.02, 04:41:58.3,M4.0,0.5000090554613001,,L3.3,0.6517261989018955,,,,
spex_prism_0431+2610_171001.fits,J0431+2610,171001, 04:31:17.81, 26:10:58.5,M8.5,0.8628806141843445,INT-G,L0.8,0.7578787304907911,M7.3,0.5083445553595404,M9.7:,1.2016612421955943
spex_prism_1618-2452_170213.fits,J1618-2452,170213, 16:18:31.87,-24:52:24.3,M8.0,0.5003366893016414,,L4.4:,1.1513359349753605,M5.7,0.3744732677926089,,
spex_prism_1624-2253_170210.fits,J1624-2253,170210, 16:24:51.60,-22:53:49.4,M8.0,0.5000000007233932,VL-G,L1.0,0.648961323610252,M6.6,0.3029947508271932,M8.4:,1.022775994714982
spex_prism_0418+2814_170105.fits,J0418+2814,170105, 04:18:51.00, 28:14:37.2,M8.0,0.5,VL-G,L0.8,0.6603103774739898,M7.3,0.33383752736828554,M8.6,0.7792213562346161
spex_prism_0227+2356_160803.fits,J0227+2356,160803, 02:27:22.49, 23:56:52.2,L9.0,0.5100282751806701,FLD-G,L8.8,0.5665995114274154,L0.3,0.6146662305417994,L6.7:,1.0473211533658742
spex_prism_0039-0052_160911.fits,J0039-0052,160911, 00:39:43.68,-00:52:24.3,M5.0,0.5000000000000434,,L2.1,0.6496114676174022,M4.6,0.5253583500629573,,
spex_prism_0423+1950_161012.fits,J0423+1950,161012, 04:23:32.46, 19:50:22.4,M8.0,0.5000073262120633,VL-G,L1.8,0.6324969108965907,M9.1,0.3188073661720025,L1.2,0.7756950988402166
spex_prism_0418+1412_161012.fits,J0418+1412,161012, 04:18:01.22, 14:12:29.9,M7.5,0.8421253877561649,FLD-G,L4.5:,1.177430916375928,M6.1,0.3975047075053474,,
spex_prism_0324-1919_160928.fits,J0324-1919,160928, 03:24:39.98,-19:19:11.9,L7.0,0.6448666410060341,FLD-G,L8.1,0.5742331215423198,L6.7,0.4466712123400822,L5.7,0.7868619183741062
spex_prism_0433+2413_171001.fits,J0433+2413,171001, 04:33:08.68, 24:13:13.4,L2.5,0.8510123045931733,FLD-G,L2.9,0.62292319907654,L0.9,0.4437642196625213,L1.6,0.8279939774541638
